condition_id,mechanism_condition,mechanism_control_name,mechanism_control_strength,mechanism_strength_label,baseline_system_id,control_system_id,job_id,group_id,seed,fresh_seed_index,start_samples,probe_key,mechanism_control_status,mechanism_control_unavailable_reason,state_count,edge_count,constraint_control_type,constraint_metadata_available
constraint_resampled_generation_control:medium,mechanism_control,constraint_resampled_generation_control,0.05,medium,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4577796,stage_b_000_0_4_full_state_hash_constraint_resampled_generation_control:medium,anchor_006|baseline=baseline,4541459,0,4,full_state_hash,computed,,243,972,constraint_resampled_generation_control,1
constraint_resampled_generation_control:strong,mechanism_control,constraint_resampled_generation_control,0.2,strong,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4592796,stage_b_000_0_4_full_state_hash_constraint_resampled_generation_control:strong,anchor_006|baseline=baseline,4541459,0,4,full_state_hash,computed,,243,972,constraint_resampled_generation_control,1
baseline_unperturbed:baseline,baseline,baseline_unperturbed,0.0,baseline,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,stage_b_000_0_8_constraint_profile_hash_baseline_unperturbed:baseline,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,baseline,,243,972,,
roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.010_seed4572796,stage_b_000_0_8_constraint_profile_hash_roughness_resampled_transform_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.01,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.010_seed4572796,stage_b_000_0_8_constraint_profile_hash_asymmetry_flip_sweep_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.02,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.020_seed4572796,stage_b_000_0_8_constraint_profile_hash_asymmetry_flip_sweep_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
baseline_unperturbed:baseline,baseline,baseline_unperturbed,0.0,baseline,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_baseline_unperturbed:baseline,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,baseline,,243,972,,
roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.010_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_roughness_resampled_transform_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
roughness_resampled_transform_control:p0.02,mechanism_control,roughness_resampled_transform_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.020_seed4572796,stage_b_000_0_8_constraint_profile_hash_roughness_resampled_transform_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
roughness_resampled_transform_control:p0.05,mechanism_control,roughness_resampled_transform_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.050_seed4572796,stage_b_000_0_8_constraint_profile_hash_roughness_resampled_transform_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
constraint_resampled_generation_control:medium,mechanism_control,constraint_resampled_generation_control,0.05,medium,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4577796,stage_b_000_0_8_constraint_profile_hash_constraint_resampled_generation_control:medium,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,constraint_resampled_generation_control,1
constraint_resampled_generation_control:strong,mechanism_control,constraint_resampled_generation_control,0.2,strong,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4592796,stage_b_000_0_8_constraint_profile_hash_constraint_resampled_generation_control:strong,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,constraint_resampled_generation_control,1
asymmetry_flip_sweep_control:p0.20,mechanism_control,asymmetry_flip_sweep_control,0.2,p0.20,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.200_seed4572796,stage_b_000_0_8_constraint_profile_hash_asymmetry_flip_sweep_control:p0.20,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
constraint_resampled_generation_control:weak,mechanism_control,constraint_resampled_generation_control,0.01,weak,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4573796,stage_b_000_0_8_constraint_profile_hash_constraint_resampled_generation_control:weak,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,constraint_resampled_generation_control,1
roughness_resampled_transform_control:p0.10,mechanism_control,roughness_resampled_transform_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.100_seed4572796,stage_b_000_0_8_constraint_profile_hash_roughness_resampled_transform_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
roughness_resampled_transform_control:p0.20,mechanism_control,roughness_resampled_transform_control,0.2,p0.20,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.200_seed4572796,stage_b_000_0_8_constraint_profile_hash_roughness_resampled_transform_control:p0.20,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.05,mechanism_control,asymmetry_flip_sweep_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.050_seed4572796,stage_b_000_0_8_constraint_profile_hash_asymmetry_flip_sweep_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.10,mechanism_control,asymmetry_flip_sweep_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.100_seed4572796,stage_b_000_0_8_constraint_profile_hash_asymmetry_flip_sweep_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,constraint_profile_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.01,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.010_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_asymmetry_flip_sweep_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
asymmetry_flip_sweep_control:p0.02,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.020_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_asymmetry_flip_sweep_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
roughness_resampled_transform_control:p0.02,mechanism_control,roughness_resampled_transform_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.020_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_roughness_resampled_transform_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
roughness_resampled_transform_control:p0.05,mechanism_control,roughness_resampled_transform_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.050_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_roughness_resampled_transform_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
baseline_unperturbed:baseline,baseline,baseline_unperturbed,0.0,baseline,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,stage_b_000_0_8_existing_low_baseline_unperturbed:baseline,anchor_006|baseline=baseline,4541459,0,8,existing_low,baseline,,243,972,,
roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.010_seed4572796,stage_b_000_0_8_existing_low_roughness_resampled_transform_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
roughness_resampled_transform_control:p0.02,mechanism_control,roughness_resampled_transform_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.020_seed4572796,stage_b_000_0_8_existing_low_roughness_resampled_transform_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
roughness_resampled_transform_control:p0.05,mechanism_control,roughness_resampled_transform_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.050_seed4572796,stage_b_000_0_8_existing_low_roughness_resampled_transform_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
roughness_resampled_transform_control:p0.10,mechanism_control,roughness_resampled_transform_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.100_seed4572796,stage_b_000_0_8_existing_low_roughness_resampled_transform_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
roughness_resampled_transform_control:p0.20,mechanism_control,roughness_resampled_transform_control,0.2,p0.20,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.200_seed4572796,stage_b_000_0_8_existing_low_roughness_resampled_transform_control:p0.20,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
asymmetry_flip_sweep_control:p0.01,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.010_seed4572796,stage_b_000_0_8_existing_low_asymmetry_flip_sweep_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
asymmetry_flip_sweep_control:p0.02,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.020_seed4572796,stage_b_000_0_8_existing_low_asymmetry_flip_sweep_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
asymmetry_flip_sweep_control:p0.05,mechanism_control,asymmetry_flip_sweep_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.050_seed4572796,stage_b_000_0_8_existing_low_asymmetry_flip_sweep_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
asymmetry_flip_sweep_control:p0.10,mechanism_control,asymmetry_flip_sweep_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.100_seed4572796,stage_b_000_0_8_existing_low_asymmetry_flip_sweep_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
roughness_resampled_transform_control:p0.10,mechanism_control,roughness_resampled_transform_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.100_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_roughness_resampled_transform_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
roughness_resampled_transform_control:p0.20,mechanism_control,roughness_resampled_transform_control,0.2,p0.20,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.200_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_roughness_resampled_transform_control:p0.20,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
asymmetry_flip_sweep_control:p0.20,mechanism_control,asymmetry_flip_sweep_control,0.2,p0.20,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.200_seed4572796,stage_b_000_0_8_existing_low_asymmetry_flip_sweep_control:p0.20,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,,
constraint_resampled_generation_control:weak,mechanism_control,constraint_resampled_generation_control,0.01,weak,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4573796,stage_b_000_0_8_existing_low_constraint_resampled_generation_control:weak,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,constraint_resampled_generation_control,1
asymmetry_flip_sweep_control:p0.05,mechanism_control,asymmetry_flip_sweep_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.050_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_asymmetry_flip_sweep_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
asymmetry_flip_sweep_control:p0.10,mechanism_control,asymmetry_flip_sweep_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.100_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_asymmetry_flip_sweep_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
constraint_resampled_generation_control:medium,mechanism_control,constraint_resampled_generation_control,0.05,medium,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4577796,stage_b_000_0_8_existing_low_constraint_resampled_generation_control:medium,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,constraint_resampled_generation_control,1
constraint_resampled_generation_control:strong,mechanism_control,constraint_resampled_generation_control,0.2,strong,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4592796,stage_b_000_0_8_existing_low_constraint_resampled_generation_control:strong,anchor_006|baseline=baseline,4541459,0,8,existing_low,computed,,243,972,constraint_resampled_generation_control,1
constraint_resampled_generation_control:medium,mechanism_control,constraint_resampled_generation_control,0.05,medium,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4577796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_constraint_resampled_generation_control:medium,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,constraint_resampled_generation_control,1
constraint_resampled_generation_control:strong,mechanism_control,constraint_resampled_generation_control,0.2,strong,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4592796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_constraint_resampled_generation_control:strong,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,constraint_resampled_generation_control,1
asymmetry_flip_sweep_control:p0.20,mechanism_control,asymmetry_flip_sweep_control,0.2,p0.20,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.200_seed4572796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_asymmetry_flip_sweep_control:p0.20,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,,
constraint_resampled_generation_control:weak,mechanism_control,constraint_resampled_generation_control,0.01,weak,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_constraint_resampled_seed4573796,stage_b_000_0_8_constraint_violation_count_plus_local_tuple_constraint_resampled_generation_control:weak,anchor_006|baseline=baseline,4541459,0,8,constraint_violation_count_plus_local_tuple,computed,,243,972,constraint_resampled_generation_control,1
baseline_unperturbed:baseline,baseline,baseline_unperturbed,0.0,baseline,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,stage_b_000_0_8_full_state_hash_baseline_unperturbed:baseline,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,baseline,,243,972,,
roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.010_seed4572796,stage_b_000_0_8_full_state_hash_roughness_resampled_transform_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.01,mechanism_control,asymmetry_flip_sweep_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.010_seed4572796,stage_b_000_0_8_full_state_hash_asymmetry_flip_sweep_control:p0.01,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.02,mechanism_control,asymmetry_flip_sweep_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.020_seed4572796,stage_b_000_0_8_full_state_hash_asymmetry_flip_sweep_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
roughness_resampled_transform_control:p0.02,mechanism_control,roughness_resampled_transform_control,0.02,p0.02,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.020_seed4572796,stage_b_000_0_8_full_state_hash_roughness_resampled_transform_control:p0.02,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
roughness_resampled_transform_control:p0.05,mechanism_control,roughness_resampled_transform_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_roughness_p0.050_seed4572796,stage_b_000_0_8_full_state_hash_roughness_resampled_transform_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
baseline_unperturbed:baseline,baseline,baseline_unperturbed,0.0,baseline,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4591480,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4591480,stage_b_000_1_4_constraint_profile_hash_baseline_unperturbed:baseline,anchor_006|baseline=baseline,4591480,1,4,constraint_profile_hash,baseline,,243,972,,
roughness_resampled_transform_control:p0.01,mechanism_control,roughness_resampled_transform_control,0.01,p0.01,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4591480,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4591480_roughness_p0.010_seed4622817,stage_b_000_1_4_constraint_profile_hash_roughness_resampled_transform_control:p0.01,anchor_006|baseline=baseline,4591480,1,4,constraint_profile_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.05,mechanism_control,asymmetry_flip_sweep_control,0.05,p0.05,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.050_seed4572796,stage_b_000_0_8_full_state_hash_asymmetry_flip_sweep_control:p0.05,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
asymmetry_flip_sweep_control:p0.10,mechanism_control,asymmetry_flip_sweep_control,0.1,p0.10,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459,relgen_n5_a3_r1_m1_k4_cd0.40_cs0.50_as0.25_rev0.00_rw0.00_seed4541459_asymflip_p0.100_seed4572796,stage_b_000_0_8_full_state_hash_asymmetry_flip_sweep_control:p0.10,anchor_006|baseline=baseline,4541459,0,8,full_state_hash,computed,,243,972,,
