candidate_C,estimator_mode,horizon_T,mc_repeats,mc_samples,start_state,truncated_exact_enumeration,wide_ci,world_id
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
hash_k34_s1206,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_7_irreversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_7_irreversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_7_irreversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_7_irreversible
trap_mixing_adversarial,monte_carlo,6,7,5000,start,1,0,A_7_irreversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
trap_mixing_adversarial,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_7_irreversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_7_irreversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_7_irreversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_7_irreversible
best_of_10_hashes_per_world,monte_carlo,6,7,5000,start,1,0,A_7_irreversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
best_of_10_hashes_per_world,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
viability_signature,exact,2,0,0,start,0,0,A_7_irreversible
viability_signature,exact,3,0,0,start,0,0,A_7_irreversible
viability_signature,exact,4,0,0,start,0,0,A_7_irreversible
viability_signature,exact,5,0,0,start,0,0,A_7_irreversible
viability_signature,monte_carlo,6,7,5000,start,1,0,A_7_irreversible
viability_signature,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
viability_signature,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_7_irreversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_7_irreversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_7_irreversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_7_irreversible
behavioral_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_7_irreversible
behavioral_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
behavioral_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
predictive_quotient_k5,exact,2,0,0,start,0,0,A_7_irreversible
predictive_quotient_k5,exact,3,0,0,start,0,0,A_7_irreversible
predictive_quotient_k5,exact,4,0,0,start,0,0,A_7_irreversible
predictive_quotient_k5,exact,5,0,0,start,0,0,A_7_irreversible
predictive_quotient_k5,monte_carlo,6,7,5000,start,1,0,A_7_irreversible
predictive_quotient_k5,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
predictive_quotient_k5,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
predictive_quotient_k8,exact,2,0,0,start,0,0,A_7_irreversible
predictive_quotient_k8,exact,3,0,0,start,0,0,A_7_irreversible
predictive_quotient_k8,exact,4,0,0,start,0,0,A_7_irreversible
predictive_quotient_k8,exact,5,0,0,start,0,0,A_7_irreversible
predictive_quotient_k8,monte_carlo,6,7,5000,start,1,0,A_7_irreversible
predictive_quotient_k8,monte_carlo,8,7,5000,start,1,0,A_7_irreversible
predictive_quotient_k8,monte_carlo,10,7,5000,start,1,0,A_7_irreversible
identity,exact,2,0,0,start,0,0,A_4_irreversible
identity,exact,3,0,0,start,0,0,A_4_irreversible
identity,exact,4,0,0,start,0,0,A_4_irreversible
identity,exact,5,0,0,start,0,0,A_4_irreversible
identity,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
identity,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
identity,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
all_one,exact,2,0,0,start,0,0,A_4_irreversible
all_one,exact,3,0,0,start,0,0,A_4_irreversible
all_one,exact,4,0,0,start,0,0,A_4_irreversible
all_one,exact,5,0,0,start,0,0,A_4_irreversible
all_one,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
all_one,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
all_one,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
random_k,exact,2,0,0,start,0,0,A_4_irreversible
random_k,exact,3,0,0,start,0,0,A_4_irreversible
random_k,exact,4,0,0,start,0,0,A_4_irreversible
random_k,exact,5,0,0,start,0,0,A_4_irreversible
random_k,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
random_k,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
random_k,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
hash_k34_s1206,exact,2,0,0,start,0,0,A_4_irreversible
hash_k34_s1206,exact,3,0,0,start,0,0,A_4_irreversible
hash_k34_s1206,exact,4,0,0,start,0,0,A_4_irreversible
hash_k34_s1206,exact,5,0,0,start,0,0,A_4_irreversible
hash_k34_s1206,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
hash_k34_s1206,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
hash_k34_s1206,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
trap_mixing_adversarial,exact,2,0,0,start,0,0,A_4_irreversible
trap_mixing_adversarial,exact,3,0,0,start,0,0,A_4_irreversible
trap_mixing_adversarial,exact,4,0,0,start,0,0,A_4_irreversible
trap_mixing_adversarial,exact,5,0,0,start,0,0,A_4_irreversible
trap_mixing_adversarial,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
trap_mixing_adversarial,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
trap_mixing_adversarial,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
best_of_10_hashes_per_world,exact,2,0,0,start,0,0,A_4_irreversible
best_of_10_hashes_per_world,exact,3,0,0,start,0,0,A_4_irreversible
best_of_10_hashes_per_world,exact,4,0,0,start,0,0,A_4_irreversible
best_of_10_hashes_per_world,exact,5,0,0,start,0,0,A_4_irreversible
best_of_10_hashes_per_world,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
best_of_10_hashes_per_world,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
best_of_10_hashes_per_world,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
viability_signature,exact,2,0,0,start,0,0,A_4_irreversible
viability_signature,exact,3,0,0,start,0,0,A_4_irreversible
viability_signature,exact,4,0,0,start,0,0,A_4_irreversible
viability_signature,exact,5,0,0,start,0,0,A_4_irreversible
viability_signature,monte_carlo,6,7,5000,start,1,0,A_4_irreversible
viability_signature,monte_carlo,8,7,5000,start,1,0,A_4_irreversible
viability_signature,monte_carlo,10,7,5000,start,1,0,A_4_irreversible
behavioral_quotient_k5,exact,2,0,0,start,0,0,A_4_irreversible
behavioral_quotient_k5,exact,3,0,0,start,0,0,A_4_irreversible
behavioral_quotient_k5,exact,4,0,0,start,0,0,A_4_irreversible
behavioral_quotient_k5,exact,5,0,0,start,0,0,A_4_irreversible
